上海,#genre#
CHC影迷电影,http://223.167.230.155:4022/rtp/233.18.204.175:5140$上海电信
CHC家庭影院,http://223.167.230.155:4022/rtp/233.18.204.173:5140$上海电信
CHC动作电影,http://223.167.230.155:4022/rtp/233.18.204.174:5140$上海电信
第一剧场,http://223.167.230.155:4022/rtp/233.18.204.184:5140$上海电信
怀旧剧场,http://223.167.230.155:4022/rtp/233.18.204.182:5140$上海电信
风云剧场,http://223.167.230.155:4022/rtp/233.18.204.183:5140$上海电信
风云足球,http://223.167.230.155:4022/rtp/233.18.204.176:5140$上海电信
风云音乐,http://223.167.230.155:4022/rtp/233.18.204.185:5140$上海电信
世界地理,http://223.167.230.155:4022/rtp/233.18.204.179:5140$上海电信
兵器科技,http://223.167.230.155:4022/rtp/233.18.204.178:5140$上海电信
女性时尚,http://223.167.230.155:4022/rtp/233.18.204.180:5140$上海电信
高尔夫网球,http://223.167.230.155:4022/rtp/233.18.204.181:5140$上海电信
央视台球,http://223.167.230.155:4022/rtp/233.18.204.177:5140$上海电信
文化精品,http://223.167.230.155:4022/rtp/233.18.204.186:5140$上海电信
上海新闻综合,http://223.167.230.155:4022/rtp/233.18.204.57:5140$上海电信
法治天地,http://223.167.230.155:4022/rtp/233.18.204.49:5140$上海电信
上海都市,http://223.167.230.155:4022/rtp/233.18.204.53:5140$上海电信
五星体育,http://223.167.230.155:4022/rtp/233.18.204.58:5140$上海电信
多彩文体4K,http://223.167.230.155:4022/rtp/233.18.204.115:5140$上海电信
多彩文体4K,http://223.167.230.155:4022/rtp/233.18.204.205:5140$上海电信
多彩文体,http://223.167.230.155:4022/rtp/233.18.204.50:5140$上海电信
多彩文体,http://223.167.230.155:4022/rtp/233.18.204.55:5140$上海电信
动漫秀场,http://223.167.230.155:4022/rtp/233.18.204.46:5140$上海电信
动漫秀场,http://223.167.230.155:4022/rtp/233.18.204.54:5140$上海电信
生活时尚,http://223.167.230.155:4022/rtp/233.18.204.45:5140$上海电信
乐游,http://223.167.230.155:4022/rtp/233.18.204.47:5140$上海电信
东方财经,http://223.167.230.155:4022/rtp/233.18.204.65:5140$上海电信
第一财经,http://223.167.230.155:4022/rtp/233.18.204.59:5140$上海电信
BesTV4K动画,http://223.167.230.155:4022/rtp/233.18.204.171:5140$上海电信
BesTV4K电影,http://223.167.230.155:4022/rtp/233.18.204.169:5140$上海电信
BesTV影视解说,http://223.167.230.155:4022/rtp/233.18.204.116:5140$上海电信
BesTV4K记录,http://223.167.230.155:4022/rtp/233.18.204.170:5140$上海电信
天翼高清4K,http://223.167.230.155:4022/rtp/233.18.204.201:5140$上海电信
