云南,#genre#
云南都市频道,http://106.59.3.171:55555/rtp/239.200.200.12:8844$云南电信
云南娱乐频道,http://106.59.3.171:55555/rtp/239.200.200.13:8848$云南电信
云南影视频道,http://106.59.3.171:55555/rtp/239.200.200.15:8856$云南电信
云南康旅频道,http://106.59.3.171:55555/rtp/239.200.200.31:8860$云南电信
云南少儿频道,http://106.59.3.171:55555/rtp/239.200.200.32:8864$云南电信
澜湄国际频道,http://106.59.3.171:55555/rtp/239.200.200.33:8024$云南电信
云南4K频道,http://106.59.3.171:55555/rtp/239.200.200.178:8884$云南电信
楚雄新闻频道,http://106.59.3.171:55555/rtp/239.200.200.116:8708$云南电信
禄丰市电视台,http://106.59.3.171:55555/rtp/239.200.200.163:8798$云南电信
新动漫,http://106.59.3.171:55555/rtp/239.200.201.32:4120$云南电信
重庆汽摩,http://106.59.3.171:55555/rtp/239.200.200.98:8052$云南电信
