河南,#genre#
河南都市频道,http://1.192.246.101:8188/rtp/239.16.20.164:11640$河南电信
河南民生频道,http://1.192.246.101:8188/rtp/239.16.20.165:11650$河南电信
河南法治频道,http://1.192.246.101:8188/rtp/239.16.10.122:2000$河南电信
河南电视剧频道,http://1.192.246.101:8188/rtp/239.16.20.167:11670$河南电信
河南新闻频道,http://1.192.246.101:8188/rtp/239.16.20.168:11680$河南电信
河南乡村频道,http://1.192.246.101:8188/rtp/239.16.20.195:11950$河南电信
河南戏曲频道,http://1.192.246.101:8188/rtp/239.16.20.171:11710$河南电信
河南收藏天下,http://1.192.246.101:8188/rtp/239.16.10.149:2000$河南电信
河南中华功夫,http://1.192.246.101:8188/rtp/239.16.20.173:11730$河南电信
河南移动电视,http://1.192.246.101:8188/rtp/239.16.20.204:12040$河南电信
河南调解剧场,http://1.192.246.101:8188/rtp/239.16.20.197:11970$河南电信
河南移动戏曲,http://1.192.246.101:8188/rtp/239.16.20.120:11200$河南电信
河南睛彩中原,http://1.192.246.101:8188/rtp/239.16.20.122:11220$河南电信
郑州1新闻综合,http://1.192.246.101:8188/rtp/239.16.10.154:2000$河南电信
郑州2商都频道,http://1.192.246.101:8188/rtp/239.16.10.155:2000$河南电信
郑州3文体旅游,http://1.192.246.101:8188/rtp/239.16.10.156:2000$河南电信
郑州4豫剧频道,http://1.192.246.101:8188/rtp/239.16.10.157:2000$河南电信
郑州5妇女儿童,http://1.192.246.101:8188/rtp/239.16.10.158:2000$河南电信
郑州6都市生活,http://1.192.246.101:8188/rtp/239.16.10.159:2000$河南电信
洛阳-1新闻综合,http://1.192.246.101:8188/rtp/239.16.20.179:11790$河南电信
洛阳-2科教频道,http://1.192.246.101:8188/rtp/239.16.20.177:11770$河南电信
洛阳-3文旅频道,http://1.192.246.101:8188/rtp/239.16.20.178:11780$河南电信
南阳1新闻综合,http://1.192.246.101:8188/rtp/239.16.10.58:2000$河南电信
南阳2公共频道,http://1.192.246.101:8188/rtp/239.16.10.165:2000$河南电信
南阳3科教频道,http://1.192.246.101:8188/rtp/239.16.10.164:2000$河南电信
周口公共频道,http://1.192.246.101:8188/rtp/239.16.10.172:2000$河南电信
周口教育频道,http://1.192.246.101:8188/rtp/239.16.10.173:2000$河南电信
周口新闻综合,http://1.192.246.101:8188/rtp/239.16.10.59:2000$河南电信
开封1新闻综合,http://1.192.246.101:8188/rtp/239.16.10.57:2000$河南电信
开封2文化旅游,http://1.192.246.101:8188/rtp/239.16.10.177:2000$河南电信
新乡公共频道,http://1.192.246.101:8188/rtp/239.16.20.154:11540$河南电信
新乡新闻综合,http://1.192.246.101:8188/rtp/239.16.20.139:11390$河南电信
焦作公共频道,http://1.192.246.101:8188/rtp/239.16.20.155:11550$河南电信
焦作综合频道,http://1.192.246.101:8188/rtp/239.16.20.140:11400$河南电信
漯河新闻综合,http://1.192.246.101:8188/rtp/239.16.10.49:2000$河南电信
信阳新闻综合,http://1.192.246.101:8188/rtp/239.16.10.52:2000$河南电信
信阳文旅频道,http://1.192.246.101:8188/rtp/239.16.10.71:2000$河南电信
封丘1新闻综合,http://1.192.246.101:8188/rtp/239.16.20.19:10190$河南电信
叶县电视台-1,http://1.192.246.101:8188/rtp/239.16.20.32:10320$河南电信
新密综合频道,http://1.192.246.101:8188/rtp/239.16.20.41:10410$河南电信
登封综合频道,http://1.192.246.101:8188/rtp/239.16.20.42:10420$河南电信
巩义综合频道,http://1.192.246.101:8188/rtp/239.16.20.43:10430$河南电信
新郑TV-1,http://1.192.246.101:8188/rtp/239.16.20.45:10450$河南电信
渑池新闻综合,http://1.192.246.101:8188/rtp/239.16.20.47:10470$河南电信
淅川电视台-1,http://1.192.246.101:8188/rtp/239.16.20.48:10480$河南电信
新蔡TV,http://1.192.246.101:8188/rtp/239.16.20.49:10490$河南电信
镇平新闻综合,http://1.192.246.101:8188/rtp/239.16.20.50:10500$河南电信
宝丰TV-1,http://1.192.246.101:8188/rtp/239.16.20.63:10630$河南电信
义马综合频道,http://1.192.246.101:8188/rtp/239.16.20.109:11090$河南电信
鹤壁新闻综合,http://1.192.246.101:8188/rtp/239.16.20.142:11420$河南电信
安阳新闻综合,http://1.192.246.101:8188/rtp/239.16.20.144:11440$河南电信
