浙江,#genre#
浙江钱江,http://218.72.73.252:9999/udp/233.50.201.132:5140$浙江电信
浙江生活,http://218.72.73.252:9999/udp/233.50.201.133:5140$浙江电信
浙江教育,http://218.72.73.252:9999/udp/233.50.201.134:5140$浙江电信
浙江民生,http://218.72.73.252:9999/udp/233.50.201.136:5140$浙江电信
浙江新闻,http://218.72.73.252:9999/udp/233.50.201.137:5140$浙江电信
浙江少儿,http://218.72.73.252:9999/udp/233.50.201.138:5140$浙江电信
浙江纪录,http://218.72.73.252:9999/udp/233.50.202.25:5140$浙江电信
杭州综合,http://218.72.73.252:9999/udp/233.50.201.173:5140$浙江电信
杭州明珠,http://218.72.73.252:9999/udp/233.50.201.174:5140$浙江电信
杭州生活,http://218.72.73.252:9999/udp/233.50.201.175:5140$浙江电信
杭州影视,http://218.72.73.252:9999/udp/233.50.201.176:5140$浙江电信
杭州青少,http://218.72.73.252:9999/udp/233.50.201.177:5140$浙江电信
杭州导视,http://218.72.73.252:9999/udp/233.50.201.182:5140$浙江电信
宁波综合,http://218.72.73.252:9999/udp/233.50.201.168:5140$浙江电信
宁波生活,http://218.72.73.252:9999/udp/233.50.201.178:5140$浙江电信
宁波文体,http://218.72.73.252:9999/udp/233.50.201.179:5140$浙江电信
宁波影视,http://218.72.73.252:9999/udp/233.50.201.180:5140$浙江电信
宁波少儿,http://218.72.73.252:9999/udp/233.50.201.181:5140$浙江电信
温州综合,http://218.72.73.252:9999/udp/233.50.201.87:5140$浙江电信
绍兴综合,http://218.72.73.252:9999/udp/233.50.201.156:5140$浙江电信
衢州综合,http://218.72.73.252:9999/udp/233.50.202.11:5140$浙江电信
衢州公共,http://218.72.73.252:9999/udp/233.50.202.12:5140$浙江电信
丽水新闻综合,http://218.72.73.252:9999/udp/233.50.201.162:5140$浙江电信
中国蓝直播,http://218.72.73.252:9999/udp/233.50.201.108:5140$浙江电信
衢州新闻,http://218.72.73.252:9999/udp/233.50.201.155:5140$浙江电信
台州新闻,http://218.72.73.252:9999/udp/233.50.201.157:5140$浙江电信
湖州新闻,http://218.72.73.252:9999/udp/233.50.201.158:5140$浙江电信
金华新闻,http://218.72.73.252:9999/udp/233.50.201.161:5140$浙江电信
嘉兴新闻,http://218.72.73.252:9999/udp/233.50.201.163:5140$浙江电信
桐乡新闻,http://218.72.73.252:9999/udp/233.50.201.169:5140$浙江电信
都市剧场,http://218.72.73.252:9999/udp/233.50.200.11:5140$浙江电信
都市剧场,http://218.72.73.252:9999/udp/233.50.201.190:5140$浙江电信
多彩文体4K,http://218.72.73.252:9999/udp/233.50.200.229:5140$浙江电信
多彩文体4K,http://218.72.73.252:9999/udp/233.50.201.189:5140$浙江电信
动漫秀场,http://218.72.73.252:9999/udp/233.50.200.12:5140$浙江电信
动漫秀场,http://218.72.73.252:9999/udp/233.50.201.184:5140$浙江电信
