辽宁,#genre#
辽宁都市频道,http://116.2.173.229:4010/rtp/232.0.0.154:1234$辽宁联通
辽宁影视剧频道,http://116.2.173.229:4010/rtp/232.0.0.25:1234$辽宁联通
辽宁体育休闲,http://116.2.173.229:4010/rtp/232.0.0.164:1234$辽宁联通
辽宁生活频道,http://116.2.173.229:4010/rtp/232.0.0.150:1234$辽宁联通
辽宁教育青少,http://116.2.173.229:4010/rtp/232.0.0.241:1234$辽宁联通
辽宁北方频道,http://116.2.173.229:4010/rtp/232.0.0.151:1234$辽宁联通
辽宁公共频道,http://116.2.173.229:4010/rtp/232.0.0.168:1234$辽宁联通
辽宁经济频道,http://116.2.173.229:4010/rtp/232.0.0.156:1234$辽宁联通
移动电视,http://116.2.173.229:4010/rtp/232.0.0.165:1234$辽宁联通
沈阳新闻综合,http://116.2.173.229:4010/rtp/232.0.0.206:1234$辽宁联通
辽河新闻综合,http://116.2.173.229:4010/rtp/232.0.0.214:1234$辽宁联通
辽河文化生活,http://116.2.173.229:4010/rtp/232.0.0.215:1234$辽宁联通
劲爆电影,http://116.2.173.229:4010/rtp/232.0.0.155:1234$辽宁联通
