上海,#genre#
CHC影迷电影,http://ipipip/rtp/233.18.204.175:5140
CHC家庭影院,http://ipipip/rtp/233.18.204.173:5140
CHC动作电影,http://ipipip/rtp/233.18.204.174:5140
第一剧场,http://ipipip/rtp/233.18.204.184:5140
怀旧剧场,http://ipipip/rtp/233.18.204.182:5140
风云剧场,http://ipipip/rtp/233.18.204.183:5140
风云足球,http://ipipip/rtp/233.18.204.176:5140
风云音乐,http://ipipip/rtp/233.18.204.185:5140
世界地理,http://ipipip/rtp/233.18.204.179:5140
兵器科技,http://ipipip/rtp/233.18.204.178:5140
女性时尚,http://ipipip/rtp/233.18.204.180:5140
高尔夫网球,http://ipipip/rtp/233.18.204.181:5140
央视台球,http://ipipip/rtp/233.18.204.177:5140
文化精品,http://ipipip/rtp/233.18.204.186:5140

上海新闻综合,http://ipipip/rtp/233.18.204.57:5140
法治天地,http://ipipip/rtp/233.18.204.49:5140
上海都市,http://ipipip/rtp/233.18.204.53:5140
五星体育,http://ipipip/rtp/233.18.204.58:5140
多彩文体4K,http://ipipip/rtp/233.18.204.115:5140
多彩文体4K,http://ipipip/rtp/233.18.204.205:5140
多彩文体,http://ipipip/rtp/233.18.204.50:5140
多彩文体,http://ipipip/rtp/233.18.204.55:5140
动漫秀场,http://ipipip/rtp/233.18.204.46:5140
动漫秀场,http://ipipip/rtp/233.18.204.54:5140
生活时尚,http://ipipip/rtp/233.18.204.45:5140
乐游,http://ipipip/rtp/233.18.204.47:5140
东方财经,http://ipipip/rtp/233.18.204.65:5140
第一财经,http://ipipip/rtp/233.18.204.59:5140
BesTV4K动画,http://ipipip/rtp/233.18.204.171:5140
BesTV4K电影,http://ipipip/rtp/233.18.204.169:5140
BesTV影视解说,http://ipipip/rtp/233.18.204.116:5140
BesTV4K记录,http://ipipip/rtp/233.18.204.170:5140
天翼高清4K,http://ipipip/rtp/233.18.204.201:5140













