云南,#genre#
云南都市频道,http://ipipip/rtp/239.200.200.12:8844
云南娱乐频道,http://ipipip/rtp/239.200.200.13:8848
云南影视频道,http://ipipip/rtp/239.200.200.15:8856
云南康旅频道,http://ipipip/rtp/239.200.200.31:8860
云南少儿频道,http://ipipip/rtp/239.200.200.32:8864
澜湄国际频道,http://ipipip/rtp/239.200.200.33:8024
云南4K频道,http://ipipip/rtp/239.200.200.178:8884
楚雄新闻频道,http://ipipip/rtp/239.200.200.116:8708
禄丰市电视台,http://ipipip/rtp/239.200.200.163:8798
新动漫,http://ipipip/rtp/239.200.201.32:4120
重庆汽摩,http://ipipip/rtp/239.200.200.98:8052
