新疆,#genre#
新疆卫视,http://ipipip/udp/238.125.3.174:5140
新疆2,http://ipipip/udp/238.125.3.175:5140
新疆3,http://ipipip/udp/238.125.3.176:5140
新疆4,http://ipipip/udp/238.125.3.177:5140
新疆5,http://ipipip/udp/238.125.3.178:5140
新疆6,http://ipipip/udp/238.125.3.179:5140
新疆7,http://ipipip/udp/238.125.3.180:5140
新疆8,http://ipipip/udp/238.125.3.181:5140
新疆9,http://ipipip/udp/238.125.3.182:5140
新疆10,http://ipipip/udp/238.125.3.183:5140
新疆11,http://ipipip/udp/238.125.3.184:5140
新疆12,http://ipipip/udp/238.125.3.185:5140
精彩影视,http://ipipip/udp/238.125.5.110:5140
包头TV1,http://ipipip/udp/238.125.3.12:5140
包头TV2,http://ipipip/udp/238.125.3.13:5140
包头TV3,http://ipipip/udp/238.125.3.14:5140
乌鲁木齐1,http://ipipip/udp/238.125.3.238:5140
阿克苏1,http://ipipip/udp/238.125.3.84:5140
阿克苏2,http://ipipip/udp/238.125.3.86:5140
阿拉尔,http://ipipip/udp/238.125.3.54:5140
阿勒泰1,http://ipipip/udp/238.125.3.150:5140
克孜勒苏柯尔克孜1,http://ipipip/udp/238.125.4.240:5140
克孜勒苏柯尔克孜2,http://ipipip/udp/238.125.4.241:5140
克孜勒苏柯尔克孜3,http://ipipip/udp/238.125.4.242:5140
伊犁哈萨克1,http://ipipip/udp/238.125.4.147:5140
伊犁哈萨克2,http://ipipip/udp/238.125.4.148:5140
伊犁哈萨克3,http://ipipip/udp/238.125.4.149:5140
伊犁哈萨克4,http://ipipip/udp/238.125.4.150:5140
喀什1,http://ipipip/udp/238.125.3.214:5140
喀什2,http://ipipip/udp/238.125.3.215:5140
喀什3,http://ipipip/udp/238.125.3.216:5140
巴音郭楞1,http://ipipip/udp/238.125.3.38:5140
巴音郭楞2,http://ipipip/udp/238.125.3.39:5140
巴音郭楞3,http://ipipip/udp/238.125.3.40:5140
巴音郭楞4,http://ipipip/udp/238.125.3.43:5140
昌吉市电视台,http://ipipip/udp/238.125.3.27:5140
霍城1,http://ipipip/udp/238.125.3.7:5140
呼图壁1,http://ipipip/udp/238.125.3.91:5140
玛纳斯1,http://ipipip/udp/238.125.3.114:5140
竹山1,http://ipipip/udp/238.125.3.225:5140
竹山2,http://ipipip/udp/238.125.3.226:5140
奎屯1,http://ipipip/udp/238.125.3.248:5140
奎屯3,http://ipipip/udp/238.125.3.250:5140
综合,http://ipipip/udp/238.125.3.165:5140
哈密TV1,http://ipipip/udp/238.125.4.194:5140
哈密TV1,http://ipipip/udp/238.125.4.195:5140
哈密TV3,http://ipipip/udp/238.125.0.195:5140
党员远程教育,http://ipipip/udp/238.125.4.144:5140























