央视频道,#genre#
CCTV1,http://ipipip/rtp/239.49.8.129:6000
CCTV2,http://ipipip/rtp/239.49.8.130:6000
CCTV3,http://ipipip/rtp/239.49.1.3:6000
CCTV4,http://ipipip/rtp/239.49.8.131:6000
CCTV5,http://ipipip/rtp/239.49.1.5:6000
CCTV5+,http://ipipip/rtp/239.49.8.18:9610
CCTV6,http://ipipip/rtp/239.49.1.6:6000
CCTV7,http://ipipip/rtp/239.49.1.254:6000
CCTV8,http://ipipip/rtp/239.49.1.8:6000
CCTV9,http://ipipip/rtp/239.49.8.53:9814
CCTV10,http://ipipip/rtp/239.49.8.134:6000
CCTV11,http://ipipip/rtp/239.49.1.11:6000
CCTV12,http://ipipip/rtp/239.49.8.135:6000
CCTV13,http://ipipip/rtp/239.49.1.13:6000
CCTV14,http://ipipip/rtp/239.49.8.136:6000
CCTV15,http://ipipip/rtp/239.49.1.15:6000
CCTV17,http://ipipip/rtp/239.49.8.132:6000
电视指南,http://ipipip/rtp/239.49.9.5:6000
风云足球,http://ipipip/rtp/239.49.9.6:6000
高尔夫球,http://ipipip/rtp/239.49.9.7:6000
世界地理,http://ipipip/rtp/239.49.9.8:6000
兵器科技,http://ipipip/rtp/239.49.9.9:6000
风云剧场,http://ipipip/rtp/239.49.9.10:6000
文化精品,http://ipipip/rtp/239.49.9.11:6000
怀旧剧场,http://ipipip/rtp/239.49.9.12:6000
风云音乐,http://ipipip/rtp/239.49.9.13:6000
女性时尚,http://ipipip/rtp/239.49.9.14:6000
第一剧场,http://ipipip/rtp/239.49.9.15:6000
第一剧场,http://ipipip/rtp/239.49.1.226:6000
书画,http://ipipip/rtp/239.49.0.123:8000
中国教育,http://ipipip/rtp/239.49.8.189:6000
GCTN英语,http://ipipip/rtp/239.49.0.9:8064
卫视频道,#genre#
江苏卫视,http://ipipip/rtp/239.49.8.138:6000
江苏卫视,http://ipipip/rtp/239.49.8.16:9602
浙江卫视,http://ipipip/rtp/239.49.8.139:6000
浙江卫视,http://ipipip/rtp/239.49.8.20:9618
湖南卫视,http://ipipip/rtp/239.49.8.142:6000
湖南卫视,http://ipipip/rtp/239.49.8.12:9418
山东卫视,http://ipipip/rtp/239.49.8.146:6000
山东卫视,http://ipipip/rtp/239.49.8.7:9306
天津卫视,http://ipipip/rtp/239.49.8.148:6000
天津卫视,http://ipipip/rtp/239.49.8.35:8620
河北卫视,http://ipipip/rtp/239.49.8.188:6000
安徽卫视,http://ipipip/rtp/239.49.8.204:6000
江西卫视,http://ipipip/rtp/239.49.8.185:6000
重庆卫视,http://ipipip/rtp/239.49.8.149:6000
重庆卫视,http://ipipip/rtp/239.49.8.57:9830
黑龙江卫视,http://ipipip/rtp/239.49.8.144:6000
黑龙江卫视,http://ipipip/rtp/239.49.8.14:9426
北京卫视,http://ipipip/rtp/239.49.8.11:9414
北京卫视,http://ipipip/rtp/239.49.8.141:6000
