2026/09/08 05:45更新,#genre#
2026功夫女足,https://v.lfthirtytwo.com/20260723/8846_f4084a75/index.m3u8
央视频道,#genre#
CCTV1,http://121.237.245.25:8888/rtp/239.49.8.129:6000$江苏电信
CCTV1,http://112.66.102.199:8888/rtp/239.253.64.120:5140$海南电信
CCTV2,http://121.237.245.25:8888/rtp/239.49.8.130:6000$江苏电信
CCTV2,http://112.66.102.199:8888/rtp/239.253.64.195:5140$海南电信
CCTV3,http://121.237.245.25:8888/rtp/239.49.1.3:6000$江苏电信
CCTV3,http://112.66.102.199:8888/rtp/239.253.64.244:5140$海南电信
CCTV4,http://121.237.245.25:8888/rtp/239.49.8.131:6000$江苏电信
CCTV4,http://112.66.102.199:8888/rtp/239.253.64.196:5140$海南电信
CCTV4欧洲,http://112.66.102.199:8888/rtp/239.253.64.77:5140$海南电信
CCTV4美洲,http://112.66.102.199:8888/rtp/239.253.64.78:5140$海南电信
CCTV4K,http://112.66.102.199:8888/rtp/239.253.64.48:5140$海南电信
CCTV5,http://121.237.245.25:8888/rtp/239.49.1.5:6000$江苏电信
CCTV5,http://112.66.102.199:8888/rtp/239.253.64.245:5140$海南电信
CCTV5+,http://121.237.245.25:8888/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://112.66.102.199:8888/rtp/239.253.64.100:5140$海南电信
CCTV6,http://121.237.245.25:8888/rtp/239.49.1.6:6000$江苏电信
CCTV6,http://112.66.102.199:8888/rtp/239.253.64.246:5140$海南电信
CCTV7,http://121.237.245.25:8888/rtp/239.49.1.254:6000$江苏电信
CCTV7,http://112.66.102.199:8888/rtp/239.253.64.54:5140$海南电信
CCTV8,http://121.237.245.25:8888/rtp/239.49.1.8:6000$江苏电信
CCTV8,http://112.66.102.199:8888/rtp/239.253.64.247:5140$海南电信
CCTV9,http://121.237.245.25:8888/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://112.66.102.199:8888/rtp/239.253.64.76:5140$海南电信
CCTV10,http://121.237.245.25:8888/rtp/239.49.8.134:6000$江苏电信
CCTV10,http://112.66.102.199:8888/rtp/239.253.64.87:5140$海南电信
CCTV11,http://121.237.245.25:8888/rtp/239.49.1.11:6000$江苏电信
CCTV11,http://112.66.102.199:8888/rtp/239.253.64.70:5140$海南电信
CCTV12,http://121.237.245.25:8888/rtp/239.49.8.135:6000$江苏电信
CCTV12,http://112.66.102.199:8888/rtp/239.253.64.97:5140$海南电信
CCTV13,http://121.237.245.25:8888/rtp/239.49.1.13:6000$江苏电信
CCTV13,http://112.66.102.199:8888/rtp/239.253.64.59:5140$海南电信
CCTV14,http://121.237.245.25:8888/rtp/239.49.8.136:6000$江苏电信
CCTV14,http://112.66.102.199:8888/rtp/239.253.64.115:5140$海南电信
CCTV15,http://121.237.245.25:8888/rtp/239.49.1.15:6000$江苏电信
CCTV15,http://112.66.102.199:8888/rtp/239.253.64.72:5140$海南电信
CCTV16,http://112.66.102.199:8888/rtp/239.253.64.251:5140$海南电信
CCTV17,http://121.237.245.25:8888/rtp/239.49.8.132:6000$江苏电信
CCTV17,http://112.66.102.199:8888/rtp/239.253.64.67:5140$海南电信
CCTV16 4K,http://112.66.102.199:8888/rtp/239.253.64.126:5140$海南电信
CGTN英语,http://112.66.102.199:8888/rtp/239.253.64.17:5140$海南电信
CGTN记录,http://112.66.102.199:8888/rtp/239.253.64.58:5140$海南电信
CGTN法语,http://112.66.102.199:8888/rtp/239.253.64.73:5140$海南电信
CGTN俄语,http://112.66.102.199:8888/rtp/239.253.64.75:5140$海南电信
第一剧场,http://121.237.245.25:8888/rtp/239.49.9.15:6000$江苏电信
第一剧场,http://121.237.245.25:8888/rtp/239.49.1.226:6000$江苏电信
第一剧场,http://223.167.230.155:4022/rtp/233.18.204.184:5140$上海电信
怀旧剧场,http://121.237.245.25:8888/rtp/239.49.9.12:6000$江苏电信
怀旧剧场,http://223.167.230.155:4022/rtp/233.18.204.182:5140$上海电信
风云剧场,http://121.237.245.25:8888/rtp/239.49.9.10:6000$江苏电信
风云剧场,http://223.167.230.155:4022/rtp/233.18.204.183:5140$上海电信
风云音乐,http://121.237.245.25:8888/rtp/239.49.9.13:6000$江苏电信
风云音乐,http://223.167.230.155:4022/rtp/233.18.204.185:5140$上海电信
兵器科技,http://121.237.245.25:8888/rtp/239.49.9.9:6000$江苏电信
兵器科技,http://223.167.230.155:4022/rtp/233.18.204.178:5140$上海电信
风云足球,http://121.237.245.25:8888/rtp/239.49.9.6:6000$江苏电信
风云足球,http://223.167.230.155:4022/rtp/233.18.204.176:5140$上海电信
高尔夫网球,http://223.167.230.155:4022/rtp/233.18.204.181:5140$上海电信
央视台球,http://223.167.230.155:4022/rtp/233.18.204.177:5140$上海电信
女性时尚,http://121.237.245.25:8888/rtp/239.49.9.14:6000$江苏电信
女性时尚,http://223.167.230.155:4022/rtp/233.18.204.180:5140$上海电信
电视指南,http://121.237.245.25:8888/rtp/239.49.9.5:6000$江苏电信
世界地理,http://121.237.245.25:8888/rtp/239.49.9.8:6000$江苏电信
世界地理,http://223.167.230.155:4022/rtp/233.18.204.179:5140$上海电信
中国天气,http://112.66.102.199:8888/rtp/239.253.64.79:5140$海南电信
CETV1,http://112.66.102.199:8888/rtp/239.253.64.169:5140$海南电信
CETV2,http://112.66.102.199:8888/rtp/239.253.64.128:5140$海南电信
CETV4,http://112.66.102.199:8888/rtp/239.253.64.139:5140$海南电信
书画,http://121.237.245.25:8888/rtp/239.49.0.123:8000$江苏电信
卫视频道,#genre#
湖南卫视,http://121.237.245.25:8888/rtp/239.49.8.142:6000$江苏电信
湖南卫视,http://121.237.245.25:8888/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://112.66.102.199:8888/rtp/239.253.64.114:5140$海南电信
湖南卫视4K,http://112.66.102.199:8888/rtp/239.253.64.60:5140$海南电信
浙江卫视,http://121.237.245.25:8888/rtp/239.49.8.139:6000$江苏电信
浙江卫视,http://121.237.245.25:8888/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://112.66.102.199:8888/rtp/239.253.64.206:5140$海南电信
浙江卫视4K,http://112.66.102.199:8888/rtp/239.253.64.62:5140$海南电信
东方卫视,http://121.237.245.25:8888/rtp/239.49.8.17:9606$江苏电信
东方卫视,http://121.237.245.25:8888/rtp/239.49.8.140:6000$江苏电信
东方卫视,http://112.66.102.199:8888/rtp/239.253.64.201:5140$海南电信
东方卫视4K,http://112.66.102.199:8888/rtp/239.253.64.63:5140$海南电信
北京卫视,http://121.237.245.25:8888/rtp/239.49.8.11:9414$江苏电信
北京卫视,http://121.237.245.25:8888/rtp/239.49.8.141:6000$江苏电信
北京卫视,http://112.66.102.199:8888/rtp/239.253.64.204:5140$海南电信
北京卫视4K,http://112.66.102.199:8888/rtp/239.253.64.92:5140$海南电信
江苏卫视,http://121.237.245.25:8888/rtp/239.49.8.138:6000$江苏电信
江苏卫视,http://121.237.245.25:8888/rtp/239.49.8.16:9602$江苏电信
江苏卫视,http://112.66.102.199:8888/rtp/239.253.64.202:5140$海南电信
江苏卫视4K,http://112.66.102.199:8888/rtp/239.253.64.61:5140$海南电信
安徽卫视,http://121.237.245.25:8888/rtp/239.49.8.204:6000$江苏电信
安徽卫视,http://112.66.102.199:8888/rtp/239.253.64.129:5140$海南电信
重庆卫视,http://121.237.245.25:8888/rtp/239.49.8.149:6000$江苏电信
重庆卫视,http://121.237.245.25:8888/rtp/239.49.8.57:9830$江苏电信
重庆卫视,http://112.66.102.199:8888/rtp/239.253.64.55:5140$海南电信
四川卫视,http://121.237.245.25:8888/rtp/239.49.8.184:6000$江苏电信
四川卫视,http://121.237.245.25:8888/rtp/239.49.1.43:6000$江苏电信
四川卫视,http://112.66.102.199:8888/rtp/239.253.64.36:5140$海南电信
四川卫视4K,http://112.66.102.199:8888/rtp/239.253.64.64:5140$海南电信
东南卫视,http://121.237.245.25:8888/rtp/239.49.8.186:6000$江苏电信
东南卫视,http://121.237.245.25:8888/rtp/239.49.1.45:6000$江苏电信
东南卫视,http://112.66.102.199:8888/rtp/239.253.64.66:5140$海南电信
深圳卫视,http://121.237.245.25:8888/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://121.237.245.25:8888/rtp/239.49.8.145:6000$江苏电信
深圳卫视,http://112.66.102.199:8888/rtp/239.253.64.203:5140$海南电信
深圳卫视4K,http://112.66.102.199:8888/rtp/239.253.64.95:5140$海南电信
广东卫视,http://121.237.245.25:8888/rtp/239.49.8.13:9422$江苏电信
广东卫视,http://121.237.245.25:8888/rtp/239.49.8.143:6000$江苏电信
广东卫视,http://112.66.102.199:8888/rtp/239.253.64.200:5140$海南电信
广东卫视4K,http://112.66.102.199:8888/rtp/239.253.64.96:5140$海南电信
广西卫视,http://121.237.245.25:8888/rtp/239.49.8.209:6000$江苏电信
广西卫视,http://121.237.245.25:8888/rtp/239.49.1.40:6000$江苏电信
广西卫视,http://112.66.102.199:8888/rtp/239.253.64.45:5140$海南电信
厦门卫视,http://112.66.102.199:8888/rtp/239.253.64.179:5140$海南电信
南方卫视,http://121.237.245.25:8888/rtp/239.49.1.249:6000$江苏电信
甘肃卫视,http://121.237.245.25:8888/rtp/239.49.1.238:6000$江苏电信
甘肃卫视,http://112.66.102.199:8888/rtp/239.253.64.140:5140$海南电信
贵州卫视,http://121.237.245.25:8888/rtp/239.49.8.174:6000$江苏电信
贵州卫视,http://121.237.245.25:8888/rtp/239.49.1.52:6000$江苏电信
贵州卫视,http://112.66.102.199:8888/rtp/239.253.64.197:5140$海南电信
河北卫视,http://121.237.245.25:8888/rtp/239.49.8.188:6000$江苏电信
河北卫视,http://121.237.245.25:8888/rtp/239.49.1.236:6000$江苏电信
河北卫视,http://112.66.102.199:8888/rtp/239.253.64.210:5140$海南电信
河南卫视,http://121.237.245.25:8888/rtp/239.49.8.197:6000$江苏电信
河南卫视,http://121.237.245.25:8888/rtp/239.49.1.44:6000$江苏电信
河南卫视,http://112.66.102.199:8888/rtp/239.253.64.38:5140$海南电信
黑龙江卫视,http://121.237.245.25:8888/rtp/239.49.8.144:6000$江苏电信
黑龙江卫视,http://121.237.245.25:8888/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://112.66.102.199:8888/rtp/239.253.64.205:5140$海南电信
湖北卫视,http://121.237.245.25:8888/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://121.237.245.25:8888/rtp/239.49.8.147:6000$江苏电信
湖北卫视,http://112.66.102.199:8888/rtp/239.253.64.207:5140$海南电信
江西卫视,http://121.237.245.25:8888/rtp/239.49.8.185:6000$江苏电信
江西卫视,http://112.66.102.199:8888/rtp/239.253.64.56:5140$海南电信
吉林卫视,http://121.237.245.25:8888/rtp/239.49.8.187:6000$江苏电信
吉林卫视,http://121.237.245.25:8888/rtp/239.49.1.49:6000$江苏电信
吉林卫视,http://112.66.102.199:8888/rtp/239.253.64.57:5140$海南电信
内蒙古卫视,http://121.237.245.25:8888/rtp/239.49.1.240:6000$江苏电信
内蒙古卫视,http://112.66.102.199:8888/rtp/239.253.64.144:5140$海南电信
辽宁卫视,http://121.237.245.25:8888/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://121.237.245.25:8888/rtp/239.49.8.173:6000$江苏电信
辽宁卫视,http://121.237.245.25:8888/rtp/239.49.1.35:6000$江苏电信
辽宁卫视,http://112.66.102.199:8888/rtp/239.253.64.150:5140$海南电信
宁夏卫视,http://121.237.245.25:8888/rtp/239.49.1.237:6000$江苏电信
宁夏卫视,http://112.66.102.199:8888/rtp/239.253.64.89:5140$海南电信
青海卫视,http://121.237.245.25:8888/rtp/239.49.1.53:6000$江苏电信
青海卫视,http://112.66.102.199:8888/rtp/239.253.64.46:5140$海南电信
山东卫视,http://121.237.245.25:8888/rtp/239.49.8.146:6000$江苏电信
山东卫视,http://121.237.245.25:8888/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://112.66.102.199:8888/rtp/239.253.64.208:5140$海南电信
山东卫视4K,http://112.66.102.199:8888/rtp/239.253.64.65:5140$海南电信
山东教育卫视,http://121.237.245.25:8888/rtp/239.49.1.250:6000$江苏电信
山东教育卫视,http://112.66.102.199:8888/rtp/239.253.64.241:5140$海南电信
山西卫视,http://121.237.245.25:8888/rtp/239.49.1.51:6000$江苏电信
山西卫视,http://112.66.102.199:8888/rtp/239.253.64.31:5140$海南电信
陕西卫视,http://121.237.245.25:8888/rtp/239.49.1.248:6000$江苏电信
陕西卫视,http://112.66.102.199:8888/rtp/239.253.64.37:5140$海南电信
天津卫视,http://121.237.245.25:8888/rtp/239.49.8.148:6000$江苏电信
天津卫视,http://121.237.245.25:8888/rtp/239.49.8.35:8620$江苏电信
天津卫视,http://112.66.102.199:8888/rtp/239.253.64.198:5140$海南电信
海南卫视,http://121.237.245.25:8888/rtp/239.49.8.212:6000$江苏电信
海南卫视,http://121.237.245.25:8888/rtp/239.49.1.41:6000$江苏电信
海南卫视,http://112.66.102.199:8888/rtp/239.253.64.253:5140$海南电信
新疆卫视,http://121.237.245.25:8888/rtp/239.49.1.239:6000$江苏电信
新疆卫视,http://112.66.102.199:8888/rtp/239.253.64.146:5140$海南电信
云南卫视,http://121.237.245.25:8888/rtp/239.49.8.227:6000$江苏电信
云南卫视,http://121.237.245.25:8888/rtp/239.49.1.235:6000$江苏电信
云南卫视,http://112.66.102.199:8888/rtp/239.253.64.147:5140$海南电信
西藏卫视,http://121.237.245.25:8888/rtp/239.49.1.139:6000$江苏电信
西藏卫视,http://112.66.102.199:8888/rtp/239.253.64.143:5140$海南电信
兵团卫视,http://112.66.102.199:8888/rtp/239.253.64.178:5140$海南电信
三沙卫视,http://112.66.102.199:8888/rtp/239.253.64.112:5140$海南电信
4K频道,#genre#
云南4K频道,http://106.59.2.152:55555/rtp/239.200.200.178:8884$云南电信
云南4K频道,http://106.59.3.228:55555/rtp/239.200.200.178:8884$云南电信
爱上4K,http://112.66.102.199:8888/rtp/239.253.64.243:5140$海南电信
4K现场,http://121.237.245.25:8888/rtp/239.49.8.222:6000$江苏电信
4K花园,http://121.237.245.25:8888/rtp/239.49.8.208:6000$江苏电信
数字频道,#genre#
CHC影迷电影,http://223.167.230.155:4022/rtp/233.18.204.175:5140$上海电信
CHC影迷电影,http://112.66.102.199:8888/rtp/239.253.64.52:5140$海南电信
CHC动作电影,http://223.167.230.155:4022/rtp/233.18.204.174:5140$上海电信
CHC动作电影,http://112.66.102.199:8888/rtp/239.253.64.51:5140$海南电信
CHC家庭影院,http://223.167.230.155:4022/rtp/233.18.204.173:5140$上海电信
CHC家庭影院,http://112.66.102.199:8888/rtp/239.253.64.50:5140$海南电信
华数谍战剧场,http://112.66.102.199:8888/rtp/239.253.64.212:5140$海南电信
华数经典电影,http://112.66.102.199:8888/rtp/239.253.64.227:5140$海南电信
华语影院,http://121.237.245.25:8888/rtp/239.49.1.196:6000$江苏电信
华数魅力时尚,http://112.66.102.199:8888/rtp/239.253.64.231:5140$海南电信
华数热播剧场,http://112.66.102.199:8888/rtp/239.253.64.211:5140$海南电信
华数影视,http://112.66.102.199:8888/rtp/239.253.64.49:5140$海南电信
华数喜剧影院,http://112.66.102.199:8888/rtp/239.253.64.233:5140$海南电信
华数武侠剧场,http://112.66.102.199:8888/rtp/239.253.64.254:5140$海南电信
华数少儿动画,http://112.66.102.199:8888/rtp/239.253.64.232:5140$海南电信
华数动画,http://112.66.102.199:8888/rtp/239.253.64.163:5140$海南电信
华数军旅剧场,http://112.66.102.199:8888/rtp/239.253.64.228:5140$海南电信
华数家庭影院,http://112.66.102.199:8888/rtp/239.253.64.225:5140$海南电信
华数古装剧场,http://112.66.102.199:8888/rtp/239.253.64.221:5140$海南电信
华数动作影院,http://112.66.102.199:8888/rtp/239.253.64.220:5140$海南电信
华数城市剧场,http://112.66.102.199:8888/rtp/239.253.64.218:5140$海南电信
华数武侠剧场,http://112.66.102.199:8888/rtp/239.253.64.254:5140$海南电信
华数精选,http://112.66.102.199:8888/rtp/239.253.64.224:5140$海南电信
IPTV法治,http://112.66.102.199:8888/rtp/239.253.64.213:5140$海南电信
IPTV地理,http://112.66.102.199:8888/rtp/239.253.64.219:5140$海南电信
IPTV相声小品,http://112.66.102.199:8888/rtp/239.253.64.214:5140$海南电信
IPTV野外,http://112.66.102.199:8888/rtp/239.253.64.215:5140$海南电信
魅力足球,http://121.237.245.25:8888/rtp/239.49.1.179:6000$江苏电信
魅力足球,http://121.237.245.25:8888/rtp/239.49.8.181:6000$江苏电信
IPTV足球,http://112.66.102.199:8888/rtp/239.253.64.237:5140$海南电信
IPTV早教,http://112.66.102.199:8888/rtp/239.253.64.236:5140$海南电信
IPTV音乐现场,http://112.66.102.199:8888/rtp/239.253.64.235:5140$海南电信
IPTV戏曲,http://112.66.102.199:8888/rtp/239.253.64.234:5140$海南电信
IPTV武术,http://112.66.102.199:8888/rtp/239.253.64.170:5140$海南电信
高网,http://112.66.102.199:8888/rtp/239.253.64.250:5140$海南电信
IPTV台球,http://112.66.102.199:8888/rtp/239.253.64.164:5140$海南电信
IPTV收视指南,http://112.66.102.199:8888/rtp/239.253.64.238:5140$海南电信
IPTV墨宝,http://112.66.102.199:8888/rtp/239.253.64.158:5140$海南电信
IPTV美人,http://112.66.102.199:8888/rtp/239.253.64.123:5140$海南电信
IPTV军事,http://112.66.102.199:8888/rtp/239.253.64.229:5140$海南电信
IPTV解密,http://112.66.102.199:8888/rtp/239.253.64.141:5140$海南电信
IPTV好学生,http://112.66.102.199:8888/rtp/239.253.64.223:5140$海南电信
IPTV国学,http://112.66.102.199:8888/rtp/239.253.64.222:5140$海南电信
IPTV爱生活,http://112.66.102.199:8888/rtp/239.253.64.216:5140$海南电信
IPTV3+,http://112.66.102.199:8888/rtp/239.253.64.10:5140$海南电信
IPTV5+,http://112.66.102.199:8888/rtp/239.253.64.125:5140$海南电信
IPTV5+,http://112.66.102.199:8888/rtp/239.253.64.26:5140$海南电信
IPTV8+,http://112.66.102.199:8888/rtp/239.253.64.160:5140$海南电信
星光影院,http://121.237.245.25:8888/rtp/239.49.1.197:6000$江苏电信
先锋乒羽,http://121.237.245.25:8888/rtp/239.49.1.233:6000$江苏电信
睛彩青少,http://112.66.102.199:8888/rtp/239.253.64.153:5140$海南电信
睛彩竞技,http://112.66.102.199:8888/rtp/239.253.64.151:5140$海南电信
睛彩篮球,http://112.66.102.199:8888/rtp/239.253.64.152:5140$海南电信
睛彩广场舞,http://112.66.102.199:8888/rtp/239.253.64.154:5140$海南电信
欢笑剧场4K,http://121.237.245.25:8888/rtp/239.49.8.231:6000$江苏电信
欢笑剧场,http://121.237.245.25:8888/rtp/239.49.8.182:6000$江苏电信
都市剧场,http://121.237.245.25:8888/rtp/239.49.1.170:6000$江苏电信
都市剧场,http://121.237.245.25:8888/rtp/239.49.8.180:6000$江苏电信
七彩戏剧,http://121.237.245.25:8888/rtp/239.49.1.175:6000$江苏电信
劲爆体育,http://121.237.245.25:8888/rtp/239.49.1.180:6000$江苏电信
法治天地,http://121.237.245.25:8888/rtp/239.49.1.174:6000$江苏电信
法治天地,http://223.167.230.155:4022/rtp/233.18.204.49:5140$上海电信
乐游,http://223.167.230.155:4022/rtp/233.18.204.47:5140$上海电信
动漫秀场,http://121.237.245.25:8888/rtp/239.49.8.178:6000$江苏电信
动漫秀场,http://121.237.245.25:8888/rtp/239.49.1.171:6000$江苏电信
动漫秀场,http://223.167.230.155:4022/rtp/233.18.204.46:5140$上海电信
动漫秀场,http://223.167.230.155:4022/rtp/233.18.204.54:5140$上海电信
生活时尚,http://121.237.245.25:8888/rtp/239.49.1.181:6000$江苏电信
