2026/09/05 04:58更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
央视频道,#genre#
CCTV1,http://183.222.206.14:8096/udp/239.94.0.31:5140
CCTV2,http://183.222.206.14:8096/udp/239.94.0.2:5140
CCTV3,http://183.222.206.14:8096/udp/239.94.0.32:5140
CCTV4,http://183.222.206.14:8096/udp/239.94.0.4:5140
CCTV5,http://183.222.206.14:8096/udp/239.94.0.33:5140
CCTV6,http://183.222.206.14:8096/udp/239.94.0.34:5140
CCTV7,http://183.222.206.14:8096/udp/239.94.0.7:5140
CCTV8,http://183.222.206.14:8096/udp/239.94.0.35:5140
CCTV9,http://183.222.206.14:8096/udp/239.94.0.9:5140
CCTV10,http://183.222.206.14:8096/udp/239.94.0.10:5140
CCTV11,http://183.222.206.14:8096/udp/239.94.0.36:5140
CCTV12,http://183.222.206.14:8096/udp/239.94.0.12:5140
CCTV13,http://183.222.206.14:8096/udp/239.94.0.37:5140
CCTV14,http://183.222.206.14:8096/udp/239.94.0.14:5140
CCTV15,http://183.222.206.14:8096/udp/239.94.0.38:5140
CCTV16,http://112.66.102.205:8888/rtp/239.253.64.251:5140
CCTV17,http://183.222.206.14:8096/udp/239.94.0.39:5140
CCTV16 4K,http://112.66.102.205:8888/rtp/239.253.64.126:5140
CGTN英语,http://112.66.102.205:8888/rtp/239.253.64.17:5140
CGTN记录,http://112.66.102.205:8888/rtp/239.253.64.58:5140
CGTN西班牙语,http://183.222.206.14:8096/udp/239.94.1.65:5140
CGTN法语,http://183.222.206.14:8096/udp/239.94.1.66:5140
CGTN俄语,http://112.66.102.205:8888/rtp/239.253.64.75:5140
中国天气,http://183.222.206.14:8096/udp/239.94.1.167:5140
中国交通,http://183.222.206.14:8096/udp/239.94.0.87:5140
CETV1,http://183.222.206.14:8096/udp/239.94.1.2:5140
CETV2,http://183.222.206.14:8096/udp/239.94.1.19:5140
CETV4,http://183.222.206.14:8096/udp/239.94.1.20:5140
书画频道,http://183.222.206.14:8096/udp/239.94.1.163:5140
卫视频道,#genre#
凤凰中文,http://183.222.206.14:8096/udp/239.94.2.51:5140
凤凰资讯,http://183.222.206.14:8096/udp/239.94.2.50:5140
星空卫视,http://183.222.206.14:8096/udp/239.94.2.53:5140
CHANNEL-V,http://183.222.206.14:8096/udp/239.94.2.55:5140
湖南卫视,http://183.222.206.14:8096/udp/239.94.0.116:5140
浙江卫视,http://183.222.206.14:8096/udp/239.94.0.118:5140
东方卫视,http://183.222.206.14:8096/udp/239.94.0.64:5140
北京卫视,http://183.222.206.14:8096/udp/239.94.0.112:5140
江苏卫视,http://183.222.206.14:8096/udp/239.94.0.117:5140
安徽卫视,http://183.222.206.14:8096/udp/239.94.0.85:5140
重庆卫视,http://183.222.206.14:8096/udp/239.94.0.82:5140
四川卫视,http://183.222.206.14:8096/udp/239.94.0.59:5140
东南卫视,http://183.222.206.14:8096/udp/239.94.0.80:5140
深圳卫视,http://183.222.206.14:8096/udp/239.94.0.66:5140
广东卫视,http://183.222.206.14:8096/udp/239.94.0.67:5140
广西卫视,http://183.222.206.14:8096/udp/239.94.0.89:5140
厦门卫视,http://183.222.206.14:8096/udp/239.94.0.104:5140
甘肃卫视,http://183.222.206.14:8096/udp/239.94.0.99:5140
贵州卫视,http://183.222.206.14:8096/udp/239.94.0.83:5140
河北卫视,http://183.222.206.14:8096/udp/239.94.0.86:5140
河南卫视,http://183.222.206.14:8096/udp/239.94.0.88:5140
黑龙江卫视,http://183.222.206.14:8096/udp/239.94.0.81:5140
湖北卫视,http://183.222.206.14:8096/udp/239.94.0.84:5140
江西卫视,http://183.222.206.14:8096/udp/239.94.0.79:5140
吉林卫视,http://183.222.206.14:8096/udp/239.94.0.91:5140
内蒙古卫视,http://183.222.206.14:8096/udp/239.94.0.94:5140
辽宁卫视,http://183.222.206.14:8096/udp/239.94.0.101:5140
宁夏卫视,http://183.222.206.14:8096/udp/239.94.0.96:5140
青海卫视,http://183.222.206.14:8096/udp/239.94.0.95:5140
山东卫视,http://183.222.206.14:8096/udp/239.94.0.69:5140
山东教育卫视,http://183.222.206.14:8096/udp/239.94.0.106:5140
山西卫视,http://183.222.206.14:8096/udp/239.94.0.93:5140
陕西卫视,http://183.222.206.14:8096/udp/239.94.0.92:5140
天津卫视,http://183.222.206.14:8096/udp/239.94.0.68:5140
海南卫视,http://183.222.206.14:8096/udp/239.94.0.100:5140
新疆卫视,http://183.222.206.14:8096/udp/239.94.0.98:5140
云南卫视,http://183.222.206.14:8096/udp/239.94.0.90:5140
西藏卫视,http://183.222.206.14:8096/udp/239.94.0.97:5140
兵团卫视,http://183.222.206.14:8096/udp/239.94.0.102:5140
安多卫视,http://183.222.206.14:8096/udp/239.94.0.110:5140
康巴卫视,http://183.222.206.14:8096/udp/239.94.0.78:5140
三沙卫视,http://183.222.206.14:8096/udp/239.94.0.105:5140
延边卫视,http://183.222.206.14:8096/udp/239.94.0.107:5140
4K频道,#genre#
云南4K频道,http://106.59.3.228:55555/rtp/239.200.200.178:8884
爱上4K,http://183.222.206.14:8096/udp/239.94.0.21:5140
绚影4K,http://183.222.206.14:8096/udp/239.94.1.150:5140
4K乐享超清,http://183.222.206.14:8096/udp/239.94.1.162:5140
数字频道,#genre#
CHC影迷电影,http://183.222.206.14:8096/udp/239.94.1.174:5140
CHC动作电影,http://183.222.206.14:8096/udp/239.94.1.175:5140
