广东,#genre#
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8$源0.153
广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8$源0.153
数字频道,#genre#
i-HOT爱电竞,http://nas.ikuai1981.top:5027/TVOD/6000000006000230630/wasusyt/index.m3u8$源1.864
i-HOT爱青春,http://nas.ikuai1981.top:5027/TVOD/6000000006000100630/wasusyt/index.m3u8$源2.285
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EB8MrpAzJ_Bw12HHVBcZO6g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNONWWecbSKZXNjh_5hExtTC%2CEND$源1-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226433/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EygquRbh9L0wUPRY53fsZWw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNO62IynDcU1yYDL1b4Xte8T%2CEND$源2-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226516/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eh9_SEkmWeMdS1TMnIILZgg%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPIiicEW7OIvk1s-X-PXHqO%2CEND$源3-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226557/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBzZToIaOOoaa_jAUfhUQHQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOD9BEmVSNbqSQpqXZxnxbk%2CEND$源4-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227030/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWR3JI0iklU2klIzSzhH6nA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNcVQYgQEjmQ1Kehqyp6Sje%2CEND$源5-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EncK5uEAdYwWMsf8WJWI1mQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNO_LSIQh_h2P54Cz-MqgJqC%2CEND$源6-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227038/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnNP_kmf5g3OZQXDWZHNpOA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNONS2RAhxb5u6NYaMGGM23S%2CEND$源7-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227000/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EAWLGkc6X5Fh9eyLXH5iy4A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$源8-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226443/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Ebu8iDniP_aAtg-APxKXKAA%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNOeLGc8fhipDF_paLm6VUd-%2CEND$源9-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Es-PVNcPJsjr_oBdcXGT40g%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMWvZ0r6eMXcXJOGrCpJiq1%2CEND$源10-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226510/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EIfgL7tTUNqHAIdgvKuwj8A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNPr9j5nfyiWS_jEXD6m401A%2CEND$源11-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226577/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EhE2Z89HKgsQOlN9opVn1iw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNN03yUnk4zBVk1bynPPL3hZ%2CEND$源12-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227034/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EnmNWt4gIKrkCWjuWofLapQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNMIdWbuxQqiCSe0m2VF_WFN%2CEND$源13-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227023/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EsOnjStoSIBiRDXRm4N42Zw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNN0Rjp499O2_vHkE1RKEoQC%2CEND$源14-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226901/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EIDa9eQPW7MPnVG3tWV9L_A%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNM7UiApo13jd7QHhKfvQCvE%2CEND$源15-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226537/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E7AxXs4eTU2oiWrhopr9sHw%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNxsM0Bor098BJglrhfEQTl%2CEND$源16-99999
睛彩青少,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226440/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWrJcgMpdGPvZavpf4dmmrQ%7E_eNUbgU9sJGUcVVduOMKhafLvQUgE_zlz_7pvDimJNNhmwDsUZnvQgU5E5wiGA2g%2CEND$源17-99999
优漫卡通,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227007/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EhHDWGhkwx_zJcJUYE9TAaA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$源99999
睛彩篮球,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226565/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EKXl4MjVH6lXYRTccqcbi4w%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$源99999
哒啵电竞,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226889/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EyKHPEcCpKH4LmXqAQnvIbg%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$源99999
睛彩竞技,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226566/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7ELNKCwls2CgCuSsq57Mh8ug%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$源99999
怡伴健康,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226984/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EjNp5Bk4D1QoMTHkXgT3WLA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND$源99999
福建,#genre#
漳浦综合,http://220.161.87.62:8090/hls/0/index.m3u8$源1-0.419
漳浦综合,http://220.161.87.62:8090/hls/0/index.m3u8?zfud$源2-0.445
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian$源1.042
浙江,#genre#
上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8?zzhed?$源0.604
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8?$源1-1.806
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8$源2-1.861
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8$源1-1.81
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?$源2-1.891
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8$源1.856
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8$源1-1.874
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8?$源2-1.877
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8$源1-1.871
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8?$源2-1.912
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8$源1.91
港·澳·台,#genre#
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8$源0.234
TVBS-新聞台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8$源0.287
28 AI 智慧賽馬,http://aktv.top/AKTV/live/aktv/28ai/AKTV.m3u8$源0.291
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8$源0.416
Channel 8 HD,http://aktv.top/AKTV/live/aktv/channel8hd/AKTV.m3u8$源0.235
Channel 5 HD,http://aktv.top/AKTV/live/aktv/channel5hd/AKTV.m3u8$源0.273
Channel U HD,http://aktv.top/AKTV/live/aktv/channeluhd/AKTV.m3u8$源0.211
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8$源0.23
ROCK Action,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8$源0.154
tvN,http://aktv.top/AKTV/live/aktv/tvn/AKTV.m3u8$源0.162
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8$源0.22
娛樂新聞台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8$源0.164
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8$源1-0.216
中天亞洲台,http://fm1077.serv00.net/Smart.php?id=ctiasia_twn$源2-0.309
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8$源1-0.223
寰宇新聞台,http://fm1077.serv00.net/Smart.php?id=huanyuxinwen_twn$源2-1.482
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8$源0.228
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8$源1-0.23
翡翠台,http://fm1077.serv00.net/Smart.php?id=jade_twn$源2-1.261
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8$源1-0.225
華視,http://fm1077.serv00.net/Smart.php?id=ctshd_twn$源2-1.412
無線新聞台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8$源0.302
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8$源0.31
亞洲新聞台,http://aktv.top/AKTV/live/aktv3/null-3/AKTV.m3u8$源0.436
美亞電影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8$源0.313
明珠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-19/AKTV.m3u8$源0.319
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8$源0.273
