卫视频道,#genre#
广东卫视,http://113.106.171.234:8899/rtp/239.20.0.101:2000$广东移动
广东大湾区卫视,http://113.106.171.234:8899/rtp/239.21.0.84:3676$广东移动
浙江卫视,http://113.106.171.234:8899/rtp/239.20.0.169:2136$广东移动
安徽卫视,http://113.106.171.234:8899/rtp/239.20.0.193:2184$广东移动
北京卫视,http://113.106.171.234:8899/rtp/239.20.0.121:2040$广东移动
山东卫视,http://113.106.171.234:8899/rtp/239.20.0.172:2142$广东移动
重庆卫视,http://113.106.171.234:8899/rtp/239.20.0.195:2188$广东移动
东方卫视,http://113.106.171.234:8899/rtp/239.20.0.173:2144$广东移动
东南卫视,http://113.106.171.234:8899/rtp/239.20.0.58:3168$广东移动
深圳卫视,http://113.106.171.234:8899/rtp/239.20.0.122:2042$广东移动
四川卫视,http://113.106.171.234:8899/rtp/239.20.0.194:2186$广东移动
天津卫视,http://113.106.171.234:8899/rtp/239.20.0.171:2140$广东移动
广西卫视,http://113.106.171.234:8899/rtp/239.20.0.15:3344$广东移动
贵州卫视,http://113.106.171.234:8899/rtp/239.20.0.212:2222$广东移动
河北卫视,http://113.106.171.234:8899/rtp/239.20.0.56:3176$广东移动
黑龙江卫视,http://113.106.171.234:8899/rtp/239.20.0.123:2044$广东移动
湖北卫视,http://113.106.171.234:8899/rtp/239.20.0.124:2046$广东移动
湖南卫视,http://113.106.171.234:8899/rtp/239.20.0.105:2008$广东移动
吉林卫视,http://113.106.171.234:8899/rtp/239.20.0.54:3184$广东移动
江苏卫视,http://113.106.171.234:8899/rtp/239.20.0.170:2138$广东移动
江西卫视,http://113.106.171.234:8899/rtp/239.20.0.55:3180$广东移动
辽宁卫视,http://113.106.171.234:8899/rtp/239.20.0.175:2148$广东移动
河南卫视,http://113.106.171.234:8899/rtp/239.20.0.144:2086$广东移动
内蒙古卫视,http://113.106.171.234:8899/rtp/239.20.0.153:2104$广东移动
宁夏卫视,http://113.106.171.234:8899/rtp/239.20.0.156:2110$广东移动
青海卫视,http://113.106.171.234:8899/rtp/239.20.0.154:2106$广东移动
甘肃卫视,http://113.106.171.234:8899/rtp/239.20.0.159:2116$广东移动
海南卫视,http://113.106.171.234:8899/rtp/239.20.0.155:2108$广东移动
山西卫视,http://113.106.171.234:8899/rtp/239.20.0.152:2102$广东移动
陕西卫视,http://113.106.171.234:8899/rtp/239.20.0.151:2100$广东移动
西藏卫视,http://113.106.171.234:8899/rtp/239.20.0.157:2112$广东移动
新疆卫视,http://113.106.171.234:8899/rtp/239.20.0.158:2114$广东移动
云南卫视,http://113.106.171.234:8899/rtp/239.20.0.145:2088$广东移动
厦门卫视,http://113.106.171.234:8899/rtp/239.20.0.168:2134$广东移动
三沙卫视,http://113.106.171.234:8899/rtp/239.20.0.52:3192$广东移动
兵团卫视,http://113.106.171.234:8899/rtp/239.20.0.160:2118$广东移动
延边卫视,http://113.106.171.234:8899/rtp/239.20.0.51:3216$广东移动
山东教育,http://113.106.171.234:8899/rtp/239.20.0.166:2130$广东移动
北京卫视4K超高清,http://113.106.171.234:8899/rtp/239.20.0.46:3220$广东移动
山东卫视超清,http://113.106.171.234:8899/rtp/239.20.0.88:3048$广东移动
湖南卫视超清,http://113.106.171.234:8899/rtp/239.20.0.95:3020$广东移动
