卫视频道,#genre#
广东卫视,http://58.253.171.137:8188/udp/239.0.1.1:5001$广东联通
深圳卫视,http://58.253.171.137:8188/udp/239.0.1.84:8020$广东联通
广东大湾区卫视,http://58.253.171.137:8188/udp/239.0.1.52:5009$广东联通
浙江卫视,http://58.253.171.137:8188/udp/239.0.1.79:1234$广东联通
湖北卫视,http://58.253.171.137:8188/udp/239.0.1.88:1234$广东联通
湖南卫视,http://58.253.171.137:8188/udp/239.0.1.78:8012$广东联通
江苏卫视,http://58.253.171.137:8188/udp/239.0.1.80:8028$广东联通
吉林卫视,http://58.253.171.137:8188/udp/239.0.1.245:5183$广东联通
江西卫视,http://58.253.171.137:8188/udp/239.0.1.244:5166$广东联通
河北卫视,http://58.253.171.137:8188/udp/239.0.1.243:8072$广东联通
东南卫视,http://58.253.171.137:8188/udp/239.0.1.241:5109$广东联通
东方卫视,http://58.253.171.137:8188/udp/239.0.1.82:8032$广东联通
北京卫视,http://58.253.171.137:8188/udp/239.0.1.83:8024$广东联通
四川卫视,http://58.253.171.137:8188/udp/239.0.1.87:5095$广东联通
天津卫视,http://58.253.171.137:8188/udp/239.0.1.89:1234$广东联通
安徽卫视,http://58.253.171.137:8188/udp/239.0.1.81:8064$广东联通
山东卫视,http://58.253.171.137:8188/udp/239.0.1.90:8052$广东联通
黑龙江卫视,http://58.253.171.137:8188/udp/239.0.1.86:8016$广东联通
广西卫视,http://58.253.171.137:8188/udp/239.0.1.181:6041$广东联通
辽宁卫视,http://58.253.171.137:8188/udp/239.0.1.85:8056$广东联通
重庆卫视,http://58.253.171.137:8188/udp/239.0.1.91:5097$广东联通
山西卫视,http://58.253.171.137:8188/udp/239.0.1.30:8172$广东联通
新疆卫视,http://58.253.171.137:8188/udp/239.0.1.36:8160$广东联通
海南卫视,http://58.253.171.137:8188/udp/239.0.1.33:8304$广东联通
河南卫视,http://58.253.171.137:8188/udp/239.0.1.22:8128$广东联通
甘肃卫视,http://58.253.171.137:8188/udp/239.0.1.37:8188$广东联通
西藏卫视,http://58.253.171.137:8188/udp/239.0.1.35:8164$广东联通
贵州卫视,http://58.253.171.137:8188/udp/239.0.1.20:8120$广东联通
陕西卫视,http://58.253.171.137:8188/udp/239.0.1.29:8140$广东联通
青海卫视,http://58.253.171.137:8188/udp/239.0.1.32:8184$广东联通
宁夏卫视,http://58.253.171.137:8188/udp/239.0.1.34:8124$广东联通
厦门卫视,http://58.253.171.137:8188/udp/239.0.1.46:4120$广东联通
云南卫视,http://58.253.171.137:8188/udp/239.0.1.23:8108$广东联通
内蒙古卫视,http://58.253.171.137:8188/udp/239.0.1.31:8176$广东联通
兵团卫视,http://58.253.171.137:8188/udp/239.0.1.38:4120$广东联通
山东教育卫视,http://58.253.171.137:8188/udp/239.0.1.44:5092$广东联通
☘️广东省,#genre#
广东经济科教,http://58.253.171.137:8188/udp/239.0.1.94:5013$广东联通
广东珠江频道,http://58.253.171.137:8188/udp/239.0.1.133:5172$广东联通
广东体育频道,http://58.253.171.137:8188/udp/239.0.1.95:5057$广东联通
广东民生频道,http://58.253.171.137:8188/udp/239.0.1.48:5005$广东联通
广东新闻频道,http://58.253.171.137:8188/udp/239.0.1.47:5006$广东联通
广东影视频道,http://58.253.171.137:8188/udp/239.0.1.54:5011$广东联通
广东少儿频道,http://58.253.171.137:8188/udp/239.0.1.55:5012$广东联通
广东移动频道,http://58.253.171.137:8188/udp/239.0.1.63:5101$广东联通
广东岭南戏曲,http://58.253.171.137:8188/udp/239.0.1.59:5073$广东联通
广东现代教育,http://58.253.171.137:8188/udp/239.0.1.61:5103$广东联通
广东南方购物,http://58.253.171.137:8188/udp/239.0.1.57:5087$广东联通
4K频道,#genre#
广东4K超高清,http://58.253.171.137:8188/udp/239.0.1.169:6030$广东联通
数字频道,#genre#
广东嘉佳卡通,http://58.253.171.137:8188/udp/239.0.1.56:5007$广东联通
金鹰纪实,http://58.253.171.137:8188/udp/239.0.1.92:5094$广东联通
金鹰卡通,http://58.253.171.137:8188/udp/239.0.1.41:9252$广东联通
哈哈炫动,http://58.253.171.137:8188/udp/239.0.1.42:5090$广东联通
卡酷少儿,http://58.253.171.137:8188/udp/239.0.1.40:9248$广东联通
☘️吉林省,#genre#
河源生活频道,http://58.253.171.137:8188/udp/239.0.1.236:5225$广东联通
央视频道,#genre#
CCTV-1综合,http://58.253.171.137:8188/udp/239.0.1.3:8008$广东联通
CCTV-2财经,http://58.253.171.137:8188/udp/239.0.1.4:8084$广东联通
CCTV-3综艺,http://58.253.171.137:8188/udp/239.0.1.177:6037$广东联通
CCTV-4中文国际,http://58.253.171.137:8188/udp/239.0.1.180:6040$广东联通
CCTV-5体育,http://58.253.171.137:8188/udp/239.0.1.175:6035$广东联通
CCTV-5+体育赛事,http://58.253.171.137:8188/udp/239.0.1.101:8004$广东联通
CCTV-6电影,http://58.253.171.137:8188/udp/239.0.1.176:6036$广东联通
CCTV-7国防军事,http://58.253.171.137:8188/udp/239.0.1.96:8104$广东联通
CCTV-8电视剧,http://58.253.171.137:8188/udp/239.0.1.174:6034$广东联通
CCTV-9纪录,http://58.253.171.137:8188/udp/239.0.1.97:8112$广东联通
CCTV-10科教,http://58.253.171.137:8188/udp/239.0.1.98:8116$广东联通
CCTV-11戏曲,http://58.253.171.137:8188/udp/239.0.1.71:5400$广东联通
CCTV-12社会与法,http://58.253.171.137:8188/udp/239.0.1.99:8124$广东联通
CCTV-13新闻,http://58.253.171.137:8188/udp/239.0.1.73:8264$广东联通
CCTV-14少儿,http://58.253.171.137:8188/udp/239.0.1.100:8132$广东联通
CCTV-15音乐,http://58.253.171.137:8188/udp/239.0.1.75:8052$广东联通
CCTV-17农业农村,http://58.253.171.137:8188/udp/239.0.1.192:9264$广东联通
CETV1,http://58.253.171.137:8188/udp/239.0.1.240:4120$广东联通
CETV2,http://58.253.171.137:8188/udp/239.0.1.210:4120$广东联通
CETV4,http://58.253.171.137:8188/udp/239.0.1.211:4121$广东联通
IPTV5体育,http://58.253.171.137:8188/udp/239.0.1.102:4120$广东联通
其它频道,#genre#
GCTN英语,http://58.253.171.137:8188/udp/239.0.1.76:8056$广东联通
