卫视频道,#genre#
新疆卫视,http://222.82.204.16:8188/udp/238.125.3.174:5140$新疆电信
新疆卫视2,http://222.82.204.16:8188/udp/238.125.3.175:5140$新疆电信
新疆卫视3,http://222.82.204.16:8188/udp/238.125.3.176:5140$新疆电信
新疆卫视4,http://222.82.204.16:8188/udp/238.125.3.177:5140$新疆电信
新疆卫视5,http://222.82.204.16:8188/udp/238.125.3.178:5140$新疆电信
新疆卫视6,http://222.82.204.16:8188/udp/238.125.3.179:5140$新疆电信
新疆卫视7,http://222.82.204.16:8188/udp/238.125.3.180:5140$新疆电信
新疆卫视8,http://222.82.204.16:8188/udp/238.125.3.181:5140$新疆电信
新疆卫视9,http://222.82.204.16:8188/udp/238.125.3.182:5140$新疆电信
新疆卫视10,http://222.82.204.16:8188/udp/238.125.3.183:5140$新疆电信
新疆卫视11,http://222.82.204.16:8188/udp/238.125.3.184:5140$新疆电信
新疆卫视12,http://222.82.204.16:8188/udp/238.125.3.185:5140$新疆电信
安徽卫视,http://222.82.204.16:8188/udp/238.125.5.9:5140$新疆电信
北京卫视,http://222.82.204.16:8188/udp/238.125.5.3:5140$新疆电信
东方卫视,http://222.82.204.16:8188/udp/238.125.5.5:5140$新疆电信
东南卫视,http://222.82.204.16:8188/udp/238.125.5.49:5140$新疆电信
广东卫视,http://222.82.204.16:8188/udp/238.125.5.12:5140$新疆电信
广西卫视,http://222.82.204.16:8188/udp/238.125.5.105:5140$新疆电信
贵州卫视,http://222.82.204.16:8188/udp/238.125.5.65:5140$新疆电信
海南卫视,http://222.82.204.16:8188/udp/238.125.5.68:5140$新疆电信
河北卫视,http://222.82.204.16:8188/udp/238.125.5.64:5140$新疆电信
河南卫视,http://222.82.204.16:8188/udp/238.125.3.171:5140$新疆电信
黑龙江卫视,http://222.82.204.16:8188/udp/238.125.5.8:5140$新疆电信
湖北卫视,http://222.82.204.16:8188/udp/238.125.5.10:5140$新疆电信
湖南卫视,http://222.82.204.16:8188/udp/238.125.5.4:5140$新疆电信
吉林卫视,http://222.82.204.16:8188/udp/238.125.3.103:5140$新疆电信
江苏卫视,http://222.82.204.16:8188/udp/238.125.5.6:5140$新疆电信
江西卫视,http://222.82.204.16:8188/udp/238.125.3.106:5140$新疆电信
辽宁卫视,http://222.82.204.16:8188/udp/238.125.5.15:5140$新疆电信
三沙卫视,http://222.82.204.16:8188/udp/238.125.5.114:5140$新疆电信
山东卫视,http://222.82.204.16:8188/udp/238.125.5.11:5140$新疆电信
深圳卫视,http://222.82.204.16:8188/udp/238.125.5.2:5140$新疆电信
四川卫视,http://222.82.204.16:8188/udp/238.125.5.62:5140$新疆电信
天津卫视,http://222.82.204.16:8188/udp/238.125.5.13:5140$新疆电信
云南卫视,http://222.82.204.16:8188/udp/238.125.5.32:5140$新疆电信
浙江卫视,http://222.82.204.16:8188/udp/238.125.5.7:5140$新疆电信
重庆卫视,http://222.82.204.16:8188/udp/238.125.5.14:5140$新疆电信
央视频道,#genre#
CCTV-1综合,http://222.82.204.16:8188/udp/238.125.5.1:5140$新疆电信
CCTV-2财经,http://222.82.204.16:8188/udp/238.125.5.20:5140$新疆电信
CCTV-3综艺,http://222.82.204.16:8188/udp/238.125.5.21:5140$新疆电信
CCTV-4中文国际,http://222.82.204.16:8188/udp/238.125.1.67:5140$新疆电信
CCTV-5体育,http://222.82.204.16:8188/udp/238.125.5.22:5140$新疆电信
CCTV-5+体育赛事,http://222.82.204.16:8188/udp/238.125.5.29:5140$新疆电信
CCTV-6电影,http://222.82.204.16:8188/udp/238.125.5.23:5140$新疆电信
CCTV-7国防军事,http://222.82.204.16:8188/udp/238.125.5.24:5140$新疆电信
CCTV-8电视剧,http://222.82.204.16:8188/udp/238.125.5.25:5140$新疆电信
CCTV-9纪录,http://222.82.204.16:8188/udp/238.125.5.26:5140$新疆电信
CCTV-10科教,http://222.82.204.16:8188/udp/238.125.5.27:5140$新疆电信
CCTV-11戏曲,http://222.82.204.16:8188/udp/238.125.3.212:5140$新疆电信
CCTV-12社会与法,http://222.82.204.16:8188/udp/238.125.5.28:5140$新疆电信
CCTV-13新闻,http://222.82.204.16:8188/udp/238.125.5.31:5140$新疆电信
CCTV-14少儿,http://222.82.204.16:8188/udp/238.125.5.66:5140$新疆电信
CCTV-15音乐,http://222.82.204.16:8188/udp/238.125.4.84:5140$新疆电信
CCTV-16奥林匹克,http://222.82.204.16:8188/udp/238.125.5.34:5140$新疆电信
CCTV-17农业农村,http://222.82.204.16:8188/udp/238.125.5.74:5140$新疆电信
CETV1,http://222.82.204.16:8188/udp/238.125.5.51:5140$新疆电信
CETV4,http://222.82.204.16:8188/udp/238.125.4.98:5140$新疆电信
其它频道,#genre#
陕西卫视,http://222.82.204.16:8188/udp/238.125.5.121:5140$新疆电信
包头TV1,http://222.82.204.16:8188/udp/238.125.3.12:5140$新疆电信
包头TV2,http://222.82.204.16:8188/udp/238.125.3.13:5140$新疆电信
包头TV3,http://222.82.204.16:8188/udp/238.125.3.14:5140$新疆电信
乌鲁木齐1,http://222.82.204.16:8188/udp/238.125.3.238:5140$新疆电信
阿克苏1,http://222.82.204.16:8188/udp/238.125.3.84:5140$新疆电信
阿克苏2,http://222.82.204.16:8188/udp/238.125.3.86:5140$新疆电信
阿拉尔,http://222.82.204.16:8188/udp/238.125.3.54:5140$新疆电信
阿勒泰1,http://222.82.204.16:8188/udp/238.125.3.150:5140$新疆电信
