卫视频道,#genre#
重庆卫视,http://106.83.119.51:8188/rtp/235.254.196.249:1268$重庆电信
江苏卫视,http://106.83.119.51:8188/rtp/235.254.198.64:1532$重庆电信
浙江卫视,http://106.83.119.51:8188/rtp/235.254.198.63:1528$重庆电信
东方卫视,http://106.83.119.51:8188/rtp/235.254.198.73:1568$重庆电信
深圳卫视,http://106.83.119.51:8188/rtp/235.254.198.71:1560$重庆电信
北京卫视,http://106.83.119.51:8188/rtp/235.254.198.66:1540$重庆电信
山东卫视,http://106.83.119.51:8188/rtp/235.254.198.69:1552$重庆电信
天津卫视,http://106.83.119.51:8188/rtp/235.254.198.67:1544$重庆电信
贵州卫视,http://106.83.119.51:8188/rtp/235.254.198.185:7980$重庆电信
黑龙江卫视,http://106.83.119.51:8188/rtp/235.254.198.70:1556$重庆电信
安徽卫视,http://106.83.119.51:8188/rtp/235.254.198.65:1536$重庆电信
湖北卫视,http://106.83.119.51:8188/rtp/235.254.198.72:1564$重庆电信
辽宁卫视,http://106.83.119.51:8188/rtp/235.254.198.68:1548$重庆电信
湖南卫视,http://106.83.119.51:8188/rtp/235.254.198.62:1524$重庆电信
广东卫视,http://106.83.119.51:8188/rtp/235.254.196.204:1088$重庆电信
河北卫视,http://106.83.119.51:8188/rtp/235.254.198.184:7980$重庆电信
四川卫视,http://106.83.119.51:8188/rtp/235.254.198.175:7980$重庆电信
云南卫视,http://106.83.119.51:8188/rtp/235.254.198.25:1376$重庆电信
广西卫视,http://106.83.119.51:8188/rtp/235.254.198.38:1428$重庆电信
山西卫视,http://106.83.119.51:8188/rtp/235.254.198.41:1440$重庆电信
江西卫视,http://106.83.119.51:8188/rtp/235.254.198.29:1392$重庆电信
海南卫视,http://106.83.119.51:8188/rtp/235.254.198.44:1452$重庆电信
东南卫视,http://106.83.119.51:8188/rtp/235.254.198.129:7980$重庆电信
吉林卫视,http://106.83.119.51:8188/rtp/235.254.198.39:1432$重庆电信
内蒙古卫视,http://106.83.119.51:8188/rtp/235.254.198.42:1444$重庆电信
河南卫视,http://106.83.119.51:8188/rtp/235.254.198.26:1380$重庆电信
宁夏卫视,http://106.83.119.51:8188/rtp/235.254.198.45:1456$重庆电信
甘肃卫视,http://106.83.119.51:8188/rtp/235.254.198.48:1468$重庆电信
青海卫视,http://106.83.119.51:8188/rtp/235.254.198.43:1448$重庆电信
新疆卫视,http://106.83.119.51:8188/rtp/235.254.198.47:1464$重庆电信
西藏卫视,http://106.83.119.51:8188/rtp/235.254.198.46:1460$重庆电信
☘️重庆市,#genre#
重庆新闻频道,http://106.83.119.51:8188/rtp/235.254.196.199:7980$重庆电信
重庆汽摩频道,http://106.83.119.51:8188/rtp/235.254.196.221:1156$重庆电信
其它频道,#genre#
重庆影视剧频道,http://106.83.119.51:8188/rtp/235.254.198.180:7980$重庆电信
重庆社会与法,http://106.83.119.51:8188/rtp/235.254.198.181:7980$重庆电信
重庆红岩文化,http://106.83.119.51:8188/rtp/235.254.198.182:7980$重庆电信
重庆文体娱乐,http://106.83.119.51:8188/rtp/235.254.198.187:7980$重庆电信
重庆新农村,http://106.83.119.51:8188/rtp/235.254.198.186:7980$重庆电信
重广融媒,http://106.83.119.51:8188/rtp/235.254.196.218:1146$重庆电信
重庆少儿频道,http://106.83.119.51:8188/rtp/235.254.196.214:1128$重庆电信
重庆红叶频道,http://106.83.119.51:8188/rtp/235.254.196.215:1132$重庆电信
重庆移动频道,http://106.83.119.51:8188/rtp/235.254.196.217:1140$重庆电信
开州综合,http://106.83.119.51:8188/rtp/235.254.198.145:1870$重庆电信
陕西卫视,http://106.83.119.51:8188/rtp/235.254.198.40:1436$重庆电信
华数动画,http://106.83.119.51:8188/rtp/235.254.198.87:1624$重庆电信
华数武侠剧场,http://106.83.119.51:8188/rtp/235.254.198.97:1664$重庆电信
华数喜剧影院,http://106.83.119.51:8188/rtp/235.254.198.98:1668$重庆电信
华数动作影院,http://106.83.119.51:8188/rtp/235.254.198.99:1672$重庆电信
华数家庭影院,http://106.83.119.51:8188/rtp/235.254.198.100:1676$重庆电信
华数星影,http://106.83.119.51:8188/rtp/235.254.198.101:1680$重庆电信
华数精选,http://106.83.119.51:8188/rtp/235.254.198.81:1600$重庆电信
华数经典电影,http://106.83.119.51:8188/rtp/235.254.198.114:1732$重庆电信
华数城市剧场,http://106.83.119.51:8188/rtp/235.254.198.74:1572$重庆电信
华数军旅剧场,http://106.83.119.51:8188/rtp/235.254.198.75:1576$重庆电信
华数谍战剧场,http://106.83.119.51:8188/rtp/235.254.198.117:1744$重庆电信
华数魅力时尚,http://106.83.119.51:8188/rtp/235.254.198.115:1736$重庆电信
IPTV6华数电影,http://106.83.119.51:8188/rtp/235.254.198.15:1336$重庆电信
热播剧场,http://106.83.119.51:8188/rtp/235.254.198.113:1728$重庆电信
古装剧场,http://106.83.119.51:8188/rtp/235.254.198.76:1580$重庆电信
光影,http://106.83.119.51:8188/rtp/235.254.198.91:1640$重庆电信
IPTV3综艺,http://106.83.119.51:8188/rtp/235.254.198.13:1328$重庆电信
IPTV8电视剧,http://106.83.119.51:8188/rtp/235.254.198.16:1340$重庆电信
IPTV相声小品,http://106.83.119.51:8188/rtp/235.254.198.118:1748$重庆电信
IPTV10野外,http://106.83.119.51:8188/rtp/235.254.198.119:1752$重庆电信
IPTV11戏曲,http://106.83.119.51:8188/rtp/235.254.198.85:1616$重庆电信
IPTV12法治,http://106.83.119.51:8188/rtp/235.254.198.120:1756$重庆电信
IPTV14早教,http://106.83.119.51:8188/rtp/235.254.198.86:1620$重庆电信
IPTV15音乐,http://106.83.119.51:8188/rtp/235.254.198.77:1584$重庆电信
IPTV地理,http://106.83.119.51:8188/rtp/235.254.198.78:1588$重庆电信
IPTV美妆,http://106.83.119.51:8188/rtp/235.254.198.79:1592$重庆电信
IPTV美人,http://106.83.119.51:8188/rtp/235.254.198.80:1596$重庆电信
IPTV解密,http://106.83.119.51:8188/rtp/235.254.198.82:1604$重庆电信
IPTV7军事,http://106.83.119.51:8188/rtp/235.254.198.83:1608$重庆电信
IPTV国学,http://106.83.119.51:8188/rtp/235.254.198.84:1612$重庆电信
IPTV好学生,http://106.83.119.51:8188/rtp/235.254.198.88:1628$重庆电信
IPTV鉴赏,http://106.83.119.51:8188/rtp/235.254.198.89:1632$重庆电信
IPTV墨宝,http://106.83.119.51:8188/rtp/235.254.198.90:1636$重庆电信
IPTV爱生活,http://106.83.119.51:8188/rtp/235.254.198.93:1648$重庆电信
IPTV武术,http://106.83.119.51:8188/rtp/235.254.198.94:1652$重庆电信
IPTV足球,http://106.83.119.51:8188/rtp/235.254.198.96:1660$重庆电信
百视通精彩导视,http://106.83.119.51:8188/rtp/235.254.196.101:1162$重庆电信
央视频道,#genre#
CCTV-1综合,http://106.83.119.51:8188/rtp/235.254.198.51:1480$重庆电信
CCTV-2财经,http://106.83.119.51:8188/rtp/235.254.198.52:1484$重庆电信
CCTV-3综艺,http://106.83.119.51:8188/rtp/235.254.198.53:1488$重庆电信
CCTV-4中文国际,http://106.83.119.51:8188/rtp/235.254.198.183:7980$重庆电信
CCTV-5体育,http://106.83.119.51:8188/rtp/235.254.198.54:1492$重庆电信
CCTV-5+体育赛事,http://106.83.119.51:8188/rtp/235.254.198.122:1764$重庆电信
CCTV-6电影,http://106.83.119.51:8188/rtp/235.254.198.55:1496$重庆电信
CCTV-7国防军事,http://106.83.119.51:8188/rtp/235.254.198.56:1500$重庆电信
CCTV-8电视剧,http://106.83.119.51:8188/rtp/235.254.198.57:1504$重庆电信
CCTV-9纪录,http://106.83.119.51:8188/rtp/235.254.198.58:1508$重庆电信
CCTV-10科教,http://106.83.119.51:8188/rtp/235.254.198.59:1512$重庆电信
CCTV-11戏曲,http://106.83.119.51:8188/rtp/235.254.198.7:1304$重庆电信
CCTV-12社会与法,http://106.83.119.51:8188/rtp/235.254.198.60:1516$重庆电信
CCTV-13新闻,http://106.83.119.51:8188/rtp/235.254.198.9:1312$重庆电信
CCTV-14少儿,http://106.83.119.51:8188/rtp/235.254.198.61:1520$重庆电信
CCTV-15音乐,http://106.83.119.51:8188/rtp/235.254.198.11:1320$重庆电信
IPTV5体育,http://106.83.119.51:8188/rtp/235.254.198.14:1332$重庆电信
数字频道,#genre#
卡酷少儿,http://106.83.119.51:8188/rtp/235.254.198.49:1472$重庆电信
金鹰卡通,http://106.83.119.51:8188/rtp/235.254.198.50:1476$重庆电信
嘉佳卡通,http://106.83.119.51:8188/rtp/235.254.198.110:1716$重庆电信
华数爱上4K,http://106.83.119.51:8188/rtp/235.254.198.102:7980$重庆电信
华数少儿动画,http://106.83.119.51:8188/rtp/235.254.198.116:1740$重庆电信
